"","listname","description","source","groups","Species","tissue","shortname","ensemble.genes"
"159","Recovery EAE vs. CTRL spinal cord MG","DEGs in EAE vs. CTRL spinal cord microglia in recovery, nanostring array","Krasemann, et al., 2018","Microglia","mouse","microglia spinal cord","Recovery EAE vs. CTRL spinal cord MG",141
"160","Rett human brain DE genes","Rnaseq & microarray DE genes RTT","Lin et al., 2016","Neuropsychiatric & Neurodevelopmental Disorders human brain","human","brain","Rett human brain DE",226
"161","Sal1delMG<Ctrl","Sal1del MG < Control MG adult array","Buttgereit et al. 2016","Microglia","mouse","microglia","Sal1delMG<Ctrl",234
"162","Sal1delMG>Ctrl","Sal1delMG>Ctrl","Buttgereit et al. 2016","Microglia","mouse","microglia","Sal1delMG>Ctrl",343
"163","Sanders High Risk ASD ","65 high confidence ASD risk genes","Sanders, et al., 2015","ASD genetics","human","blood","Sanders High Risk ASD ",63
"164","Schizophrenia LGD","LGD mutations linked to schizophrenia","Iossifov, et al., 2014","ASD genetics","human","blood","Schizophrenia LGD",88
"165","SCZ<Ctrl DGE","SCZ < Ctrl Differentially Gene Expression","Gandal et al 2018","Neuropsychiatric & Neurodevelopmental Disorders human brain","human","brain","SCZ<Ctrl",1987
"166","SCZ>Ctrl DGE","SCZ > Ctrl Differentially Gene Expression","Gandal et al 2018","Neuropsychiatric & Neurodevelopmental Disorders human brain","human","brain","SCZ>Ctrl",2200
"167","SFARI High Confidence","Currated database","https://gene.sfari.org/","ASD genetics","human","blood","SFARI ASD High Confidence",11
"168","SFARI Hypothesized","Currated database","https://gene.sfari.org/","ASD genetics","human","blood","SFARI ASD Hypothesized",153
"169","SFARI Minimal","Currated database","https://gene.sfari.org/","ASD genetics","human","blood","SFARI ASD Minimal",406
"170","SFARI Strong Candidate","Currated database","https://gene.sfari.org/","ASD genetics","human","blood","SFARI ASD Strong Candidate",46
"171","SFARI Suggestive","Currated database","https://gene.sfari.org/","ASD genetics","human","blood","SFARI ASD Suggestive",163
"172","SFARI Syndromic","Currated database","https://gene.sfari.org/","ASD genetics","human","blood","SFARI ASD Syndromic",152
"173","WT vs. FAD Tg MG DEGs","WT, FAD Tg, or FAD-Hdac1/2KO double Tg microglia DEGs","Datta et al. 2018","Microglia","mouse","microglia","WT vs. FAD Tg MG DEGs",6
"174","WT vs. FAD-Hdack1/2 KO MG DEGs","WT, FAD Tg, or FAD-Hdac1/2KO double Tg microglia DEGs","Datta et al. 2018","Microglia","mouse","microglia","WT vs. FAD-Hdack1/2 KO MG DEGs",8
"175","Young<Old MG","3 month MG < 22 month MG RNAseq","Deczkowska et al. 2018","Microglia","mouse","microglia","Young<Old MG",383
"176","Young>Old MG","3 month MG > 22 month MG RNAseq","Deczkowska et al. 2018","Microglia","mouse","microglia","Young>Old MG",301
"177","YS cluster","Gene cluster with higher expression in Yolk Sac progenitors compared to other microglia developmental timepoints","Matcovitch-Natan, et al., 2016","Microglia Development","mouse","microglia","YS cluster",346
